,DateTime,Angry,Disgust,Happy,Sad,Surprise,Neutral,Maximum Predicted Emotion
0,2019-11-30 14:44:25.552360,0.13069476187229154,0.0020522733684629198,0.4306119382381439,0.04908830299973488,0.013326930813491344,0.013326930813491344,happy
1,2019-11-30 14:44:36.381310,0.3644909858703613,0.031030343845486637,0.07254667580127716,0.19391179084777832,0.008279543370008469,0.008279543370008469,angry
2,2019-11-30 14:44:36.422327,0.3644909858703613,0.031030343845486637,0.07254667580127716,0.19391179084777832,0.008279543370008469,0.008279543370008469,angry
3,2019-11-30 14:44:44.893495,0.5727612376213074,0.01821579784154892,0.044768419116735465,0.20805877447128296,0.0023362203501164913,0.0023362203501164913,angry
4,2019-11-30 14:44:44.935563,0.5727612376213074,0.01821579784154892,0.044768419116735465,0.20805877447128296,0.0023362203501164913,0.0023362203501164913,angry
5,2019-11-30 14:44:45.882266,0.3500981032848358,0.02601238526403904,0.1109001561999321,0.18104267120361328,0.011250140145421028,0.011250140145421028,angry
6,2019-11-30 14:44:45.922130,0.3500981032848358,0.02601238526403904,0.1109001561999321,0.18104267120361328,0.011250140145421028,0.011250140145421028,angry
7,2019-11-30 14:44:46.409605,0.4293677806854248,0.026465866714715958,0.16411618888378146,0.11821284145116805,0.013191497884690763,0.013191497884690763,angry
8,2019-11-30 14:44:46.452489,0.4293677806854248,0.026465866714715958,0.16411618888378146,0.11821284145116805,0.013191497884690763,0.013191497884690763,angry
9,2019-11-30 14:44:46.495402,0.4494220018386841,0.02475135214626789,0.12354326248168945,0.11646251380443573,0.012488096952438354,0.012488096952438354,angry
10,2019-11-30 14:44:46.555541,0.457089364528656,0.026243001222610474,0.1336156725883484,0.11775124818086626,0.01356771681457758,0.01356771681457758,angry
11,2019-11-30 14:44:46.599426,0.457089364528656,0.026243001222610474,0.1336156725883484,0.11775124818086626,0.01356771681457758,0.01356771681457758,angry
12,2019-11-30 14:44:46.684199,0.4696267247200012,0.026485597714781758,0.11892823874950408,0.11704187095165253,0.01414402760565281,0.01414402760565281,angry
13,2019-11-30 14:44:46.729105,0.4696267247200012,0.026485597714781758,0.11892823874950408,0.11704187095165253,0.01414402760565281,0.01414402760565281,angry
14,2019-11-30 14:44:46.769995,0.3645107150077821,0.021081050857901573,0.126883402466774,0.12525486946105954,0.014479328878223896,0.014479328878223896,angry
15,2019-11-30 14:44:46.812854,0.3919890224933624,0.018108680844306942,0.08030536770820618,0.12161283940076828,0.014351344667375088,0.014351344667375088,angry
16,2019-11-30 14:44:46.872693,0.4498875737190247,0.023955367505550385,0.11581476777791976,0.11951325088739395,0.01161328796297312,0.01161328796297312,angry
17,2019-11-30 14:44:46.916576,0.4498875737190247,0.023955367505550385,0.11581476777791976,0.11951325088739395,0.01161328796297312,0.01161328796297312,angry
18,2019-11-30 14:44:46.956469,0.3920705020427704,0.0205415990203619,0.10852454602718352,0.11826176196336745,0.013901484198868276,0.013901484198868276,angry
19,2019-11-30 14:44:47.022520,0.4438113868236542,0.03122182376682758,0.18517328798770905,0.11819347739219666,0.01264047995209694,0.01264047995209694,angry
20,2019-11-30 14:44:47.063532,0.4438113868236542,0.03122182376682758,0.18517328798770905,0.11819347739219666,0.01264047995209694,0.01264047995209694,angry
21,2019-11-30 14:44:47.106443,0.44532838463783264,0.02125026099383831,0.060045331716537476,0.13124409317970276,0.010647319257259369,0.010647319257259369,angry
22,2019-11-30 14:44:47.149302,0.4587579369544983,0.0289896372705698,0.13624578714370728,0.12186749279499055,0.013673168607056141,0.013673168607056141,angry
23,2019-11-30 14:44:47.211441,0.4701032936573029,0.02055005542933941,0.06354435533285141,0.12072807550430298,0.0108340410515666,0.0108340410515666,angry
24,2019-11-30 14:44:47.254446,0.4701032936573029,0.02055005542933941,0.06354435533285141,0.12072807550430298,0.0108340410515666,0.0108340410515666,angry
25,2019-11-30 14:44:47.294339,0.4704913198947906,0.029924491420388225,0.13515767455101013,0.1194205954670906,0.014249610714614391,0.014249610714614391,angry
26,2019-11-30 14:44:47.339261,0.4330503046512604,0.03465113416314125,0.2099383920431137,0.1262103170156479,0.012885562144219877,0.012885562144219877,angry
27,2019-11-30 14:44:47.384136,0.4330503046512604,0.03465113416314125,0.2099383920431137,0.1262103170156479,0.012885562144219877,0.012885562144219877,angry
28,2019-11-30 14:44:47.424056,0.3972486257553101,0.02444358170032501,0.14325739443302155,0.12944093346595764,0.014573034830391409,0.014573034830391409,angry
29,2019-11-30 14:44:47.744429,0.3427949845790863,0.023414036259055138,0.12591858208179474,0.15245626866817474,0.01485554128885269,0.01485554128885269,angry
30,2019-11-30 14:44:47.819263,0.4727458655834198,0.032591789960861206,0.10292375087738036,0.1382506638765335,0.00857494305819273,0.00857494305819273,angry
31,2019-11-30 14:44:47.865243,0.4727458655834198,0.032591789960861206,0.10292375087738036,0.1382506638765335,0.00857494305819273,0.00857494305819273,angry
32,2019-11-30 14:44:47.906135,0.3944658637046814,0.02684888429939747,0.1515435427427292,0.1367764174938202,0.015365786850452425,0.015365786850452425,angry
33,2019-11-30 14:44:47.949019,0.3888708651065825,0.028227528557181362,0.1787949800491333,0.15268445014953613,0.012576653622090815,0.012576653622090815,angry
34,2019-11-30 14:44:48.011071,0.3978408873081207,0.028903523460030563,0.17285257577896118,0.1440878063440323,0.013062457554042341,0.013062457554042341,angry
35,2019-11-30 14:44:48.052957,0.3978408873081207,0.028903523460030563,0.17285257577896118,0.1440878063440323,0.013062457554042341,0.013062457554042341,angry
